whole_text,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_t1_z,volume_t1_z,close_t2_z,volume_t2_z,close_t3_z,volume_t3_z,close_t4_z,volume_t4_z,close_t5_z,volume_t5_z
"""The Falcon has landed."" New footage and recap of our recent launch and landing Next launch is a science mission from VAFB California on Sunday.",0,0,1,0,0.5588,0.0029,0.4383,-1.776,-1.764,0.001,0.604,-4.251,-0.62,-2.876,1.469,-6.6,2.798,-8.204,1.936,-8.404,-0.063
I didn't take anyone's car and never would. Car was actually allocated to engineering test (not by me) and inadvertently sold.,0,1,0,0,0.0167,0.6584,0.3248,2.049,-0.054,0.002,0.537,3.14,-0.151,5.403,2.04,5.347,-0.068,4.955,-0.991,5.57,0.699
My job moonlighting as a police officer in Brazil is no longer secret,0,0,0,0,0.1828,0.0812,0.736,1.996,-2.617,0.001,0.518,-1.136,0.953,-5.035,1.905,-6.294,0.84,-7.829,2.991,-10.347,6.257
"Worth watching ""Nathan for You"" on Comedy Central, particularly the ""Dumb Starbucks"" and ""Mechanic/Realtor"" episodes",0,0,0,0,0.8503,0.0046,0.1452,2.754,2.164,0.001,0.667,0.452,-0.994,0.316,-0.872,1.058,0.436,2.234,0.477,1.937,-0.922
Worth reposting the Wait But Why piece on AI. We are at the beginning of exponential growth in digital intelligence.,0,0,0,0,0.9321,0.0023,0.0656,-2.331,-2.025,0.001,0.363,-1.574,3.309,-0.751,-2.202,-4.015,-1.34,-2.467,3.378,3.879,5.254
Pushing launch to Friday due to extreme high altitude wind shear. Hits like a sledgehammer when going up supersonic,0,0,0,0,0.032,0.6699,0.2981,-2.064,0.938,0.001,0.291,-0.614,-1.027,1.359,0.606,0.699,-0.114,1.442,0.139,1.483,-0.403
Ritualized behavior? Chimps all throw rocks at the same tree by Evolution hasn't advanced much,0,0,1,0,0.0292,0.3963,0.5745,1.359,-0.07,0.001,0.513,0.862,-0.312,-1.015,0.929,0.215,-1.421,-0.303,-1.586,-0.821,1.41
#AlphaGo WINS!!!! We landed it on the moon. So proud of the team!! Respect to the amazing Lee Sedol too Congrats to DeepMind! Many experts in the field thought AI was 10 years away from achieving this.,0,0,1,0,0.9861,0.0031,0.0108,1.021,2.576,0.0,0.516,2.48,0.95,6.708,1.71,10.283,3.261,9.919,-0.419,10.94,0.446
"Incredibly inspired by the interest in Model 3. You won't be disappointed. Also, small token of appreciation coming for those who lined up.",1,0,0,0,0.984,0.0035,0.0125,0.038,-0.516,0.001,0.597,1.813,4.218,2.06,0.698,2.231,-0.597,2.554,0.988,3.124,-0.352
"Model 3 orders at 180,000 in 24 hours. Selling price w avg option mix prob $42k, so ~$7.5B in a day. Future of electric cars looking bright!",1,0,0,0,0.8049,0.0046,0.1905,-2.533,1.62,0.002,0.693,3.506,10.091,2.312,3.104,1.642,1.061,0.309,1.081,0.949,2.629
"Thought it would slow way down today, but Model 3 order count is now at 198k. Recommend ordering soon, as the wait time is growing rapidly.",1,0,0,0,0.1646,0.3314,0.504,1.528,0.507,0.001,0.737,1.778,-0.614,-2.042,1.2,1.308,1.103,1.867,0.059,2.372,1.696
"Dex will do comms, but my speeches are just a conversation w the audience. No time to rehearse & don't want to read from a prompter.",0,1,0,0,0.069,0.3019,0.629,2.153,-1.93,0.002,0.895,5.177,1.333,3.445,0.156,3.683,1.637,2.596,-0.23,4.929,-0.214
"Over 325k cars or ~$14B in preorders in first week. Only 5% ordered max of two, suggesting low levels of speculation.",0,0,0,0,0.0981,0.1031,0.7987,2.041,1.73,0.001,0.582,-0.22,-1.102,-0.152,-0.223,0.502,-0.328,0.084,-0.698,1.785,1.476
"Battery uses no rare Earth metals. Main ingredient is nickel, which is what's used to coat cutlery, so very non-toxic.",0,1,0,0,0.5516,0.0314,0.417,-1.578,0.237,0.001,0.444,-1.893,-1.074,-1.712,-1.513,-1.294,-1.703,-1.354,-0.986,-2.84,-0.392
"Activate autopilot 4X in quick succession for psychedelic cowbell road. And, yes, we are adding more cowbell soon.",0,0,0,0,0.4965,0.0037,0.4998,-2.197,2.126,0.005,1.621,-2.384,0.295,-3.976,0.473,-4.032,0.416,-3.346,0.424,-3.732,-0.146
Simple answer is that there just aren't many used Teslas available. Demand >> supply.,0,1,0,0,0.0445,0.4206,0.5349,0.493,-1.588,0.001,0.404,3.106,0.27,3.681,3.814,4.831,2.438,3.517,-0.676,5.982,-0.722
Bioweapon Defense Mode is real This is what happens when you turn it on:,0,0,0,0,0.0963,0.0345,0.8692,2.286,0.694,0.001,1.036,-3.254,-0.122,-1.237,-0.327,-1.617,-0.825,1.385,-0.793,2.583,-0.635
