row_id,tweet_id,tweet_timestamp,cleanText,mentions_tesla,stock_t0_close,stock_t0_volume,stock_t1_price_up,stock_t1_volume_up,stock_t2_price_up,stock_t2_volume_up,stock_t4_price_up,stock_t4_volume_up
0,686976300158853120,2016-01-12 18:21:28,"""The Falcon has landed."" New footage and recap of our recent launch and landing Next launch is a science mission from VAFB California on Sunday.",0,208.45,3660.0,0.0,0.0,0.0,1.0,0.0,1.0
1,689869015280254976,2016-01-20 17:56:05,I didn't take anyone's car and never would. Car was actually allocated to engineering test (not by me) and inadvertently sold.,0,194.5,6554.0,0.0,0.0,1.0,1.0,1.0,0.0
2,695666033676328960,2016-02-05 17:51:21,My job moonlighting as a police officer in Brazil is no longer secret,0,163.25,12450.0,0.0,1.0,0.0,1.0,0.0,1.0
3,700400342047961088,2016-02-18 19:23:49,"Worth watching ""Nathan for You"" on Comedy Central, particularly the ""Dumb Starbucks"" and ""Mechanic/Realtor"" episodes",0,166.9799,2980.0,0.0,0.0,0.0,0.0,1.0,1.0
4,702534707464896512,2016-02-24 16:45:01,Worth reposting the Wait But Why piece on AI. We are at the beginning of exponential growth in digital intelligence.,0,172.55,1351.0,1.0,1.0,1.0,1.0,1.0,1.0
5,707611375191744512,2016-03-09 16:57:53,#AlphaGo WINS!!!! We landed it on the moon. So proud of the team!! Respect to the amazing Lee Sedol too Congrats to DeepMind! Many experts in the field thought AI was 10 years away from achieving this.,0,206.03,13115.0,0.0,0.0,1.0,1.0,1.0,0.0
6,715566236822671360,2016-03-31 15:47:40,"Incredibly inspired by the interest in Model 3. You won't be disappointed. Also, small token of appreciation coming for those who lined up.",0,232.14,29052.0,1.0,1.0,1.0,0.0,1.0,0.0
7,715934657720639488,2016-04-01 16:11:38,"Model 3 orders at 180,000 in 24 hours. Selling price w avg option mix prob $42k, so ~$7.5B in a day. Future of electric cars looking bright!",0,237.0001,62611.0,1.0,1.0,1.0,1.0,0.0,0.0
8,715952781895426048,2016-04-01 17:23:39,"Thought it would slow way down today, but Model 3 order count is now at 198k. Recommend ordering soon, as the wait time is growing rapidly.",0,235.29,49743.0,0.0,0.0,0.0,0.0,0.0,0.0
9,717749079707484160,2016-04-06 16:21:30,"Dex will do comms, but my speeches are just a conversation w the audience. No time to rehearse & don't want to read from a prompter.",0,266.5,84726.0,1.0,1.0,1.0,0.0,0.0,0.0
10,718112326889529344,2016-04-07 16:24:55,"Over 325k cars or ~$14B in preorders in first week. Only 5% ordered max of two, suggesting low levels of speculation.",0,259.3925,5905.0,0.0,0.0,0.0,1.0,0.0,0.0
11,718121595101782016,2016-04-07 17:01:44,"Battery uses no rare Earth metals. Main ingredient is nickel, which is what's used to coat cutlery, so very non-toxic.",0,259.7,6539.0,0.0,0.0,0.0,0.0,0.0,0.0
12,719571133389938688,2016-04-11 17:01:41,"Activate autopilot 4X in quick succession for psychedelic cowbell road. And, yes, we are adding more cowbell soon.",0,253.44,76991.0,0.0,1.0,0.0,1.0,0.0,1.0
13,726127265612881920,2016-04-29 19:13:25,Simple answer is that there just aren't many used Teslas available. Demand >> supply.,0,239.65,4025.0,1.0,1.0,1.0,1.0,1.0,1.0
14,727176162997313536,2016-05-02 16:41:22,Bioweapon Defense Mode is real This is what happens when you turn it on:,0,237.585,11996.0,0.0,0.0,1.0,0.0,1.0,0.0
15,727189428142235648,2016-05-02 17:34:04,Filtering particulates from air makes a significant & measurable diff to health. Wd like to credit Larry Page with turning me on to this.,0,238.57,5445.0,0.0,0.0,0.0,0.0,1.0,0.0
16,728583269076242432,2016-05-06 13:52:42,"Launch trajectory of Japanese commercial satellite JCSat-14, enroute to 36,000 km above Earth",0,210.0975,32624.0,1.0,0.0,0.0,0.0,0.0,0.0
17,732656393463832576,2016-05-17 19:37:50,"Totally agree. Am told this will be fixed by Thurs, maybe Fri.",0,205.01,10679.0,1.0,0.0,1.0,1.0,0.0,0.0
18,733016945654517760,2016-05-18 19:30:33,"Per the letter, Tesla paid $55/hr for *additional* services, so no.",1,210.3358,16514.0,1.0,0.0,1.0,0.0,1.0,0.0
19,735480275988156418,2016-05-25 14:38:57,Really fun Model X review by . Best part is X racing while towing a fuel sports car,0,219.05,2460.0,0.0,1.0,0.0,1.0,0.0,1.0
20,738805691528318976,2016-06-03 18:52:57,Just heard that Norway will ban new sales of fuel cars in 2025. What an amazingly awesome country. You guys rock!!,0,219.01,8357.0,1.0,1.0,1.0,1.0,1.0,0.0
21,743099301174247424,2016-06-15 15:14:14,Upgrades underway to enable rocket to compensate for a thrust shortfall on one of the three landing engines. Probably get there end of year.,0,220.04,18858.0,0.0,0.0,1.0,0.0,0.0,0.0
22,750353176570789888,2016-07-05 15:38:32,Wrong to exclude non-occupant deaths. Autopilot would have prevented this cyclist from being killed,0,209.7,6501.0,1.0,0.0,0.0,1.0,0.0,0.0
23,755439077235814400,2016-07-19 16:28:06,"Will be working at Tesla on Autopilot & Model 3 today, then aiming to pull an all-nighter and complete the master product plan",1,227.4156,7615.0,0.0,0.0,0.0,0.0,1.0,1.0
24,755773618538242048,2016-07-20 14:37:26,Finishing off the plan while listening to the soundtrack from Gatsby. Seems appropriate...,0,227.792,4721.0,0.0,1.0,0.0,1.0,0.0,0.0
25,755808603706011648,2016-07-20 16:56:28,Except for the tweet about large amounts of crack (actually just small amounts),0,227.6,14321.0,0.0,0.0,0.0,0.0,0.0,0.0
26,757600711714701312,2016-07-25 15:37:39,Maybe as a future optimization. Would only matter if it was extremely big.,0,228.845,4421.0,0.0,1.0,0.0,1.0,0.0,1.0
27,758003098816286720,2016-07-26 18:16:36,Via : Sun-Powered Airplane Completes Historic Trip Around The World,0,227.911,231.0,1.0,1.0,1.0,1.0,1.0,1.0
28,758004517887696896,2016-07-26 18:22:14,Letter from basically every scientific org in the United States to Congress about climate change,0,228.06,18449.0,1.0,0.0,1.0,0.0,1.0,0.0
29,758351232356397056,2016-07-27 17:19:57,Should mention that Gigafactory will be fully powered by clean energy when complete & include battery recycling,0,229.17,481.0,0.0,1.0,0.0,1.0,0.0,1.0
30,759100981841756160,2016-07-29 18:59:12,Will be live streaming the Gigafactory launch party tonight. Check this eve.,0,234.65,8560.0,0.0,0.0,0.0,0.0,0.0,0.0
31,763043936889769984,2016-08-09 16:07:05,"Yeah. Movie still enjoyable due to some great characters, but plot & editing could've been better. Really needed more Joker+Harley.",0,230.1603,1861.0,1.0,1.0,1.0,1.0,1.0,1.0
32,768161427328634881,2016-08-23 19:02:10,Journalist Q&A for 30 mins and embargo ends at 12:30,0,227.79,28258.0,0.0,0.0,0.0,0.0,0.0,0.0
33,770629571972435969,2016-08-30 14:29:42,SES-10 will #launch on flight-proven Falcon-9 rocket #BeamsOnLATAM Thanks for the longstanding faith in SpaceX. We very much look forward to doing this milestone flight with you.,0,214.1,3883.0,0.0,1.0,0.0,0.0,0.0,1.0
34,771010406894620672,2016-08-31 15:43:00,"Not allowed, according to HK regulations. Happy to do it if regs change.",0,211.41,1601.0,1.0,1.0,1.0,0.0,1.0,1.0
35,771394161756942336,2016-09-01 17:07:54,Loss of Falcon vehicle today during propellant fill operation. Originated around upper stage oxygen tank. Cause still unknown. More soon.,0,203.0978,10444.0,1.0,0.0,0.0,0.0,0.0,0.0
36,774257337221517312,2016-09-09 14:45:08,"Most likely true, but we can't yet find it on any vehicle sensors",0,197.575,17740.0,0.0,0.0,0.0,0.0,0.0,0.0
37,778624834603323392,2016-09-21 16:00:01,currently stops at 20% state of charge. This number will be configurable.,0,202.41,6061.0,1.0,0.0,1.0,0.0,1.0,0.0
38,778995199506653184,2016-09-22 16:31:43,"yes. Also, only worked if you logged on to a malicious hotspot & used browser. No customers were hacked.",0,205.31,6362.0,0.0,1.0,1.0,0.0,0.0,0.0
39,779003462742794240,2016-09-22 17:04:33,Aiming for Oct 28 unveil in SF Bay Area of new Tesla/SolarCity solar roof with integrated Powerwall 2.0 battery and Tesla charger.,1,205.5997,3829.0,1.0,1.0,1.0,1.0,1.0,1.0
40,780828210028240896,2016-09-27 17:55:27,Full Interplanetary Tranport System presentation in ~30 mins. Simulation preview:,0,206.93,2325.0,0.0,1.0,0.0,1.0,0.0,0.0
41,780831628104966144,2016-09-27 18:09:01,"12m rocket booster diameter, 17m spaceship diameter, 122 m stack height",0,206.455,7993.0,1.0,0.0,1.0,1.0,1.0,1.0
42,780838839644483586,2016-09-27 18:37:41,Waiting for everyone to reach their seats and get settled. Starting in 5 to 10.,0,206.2601,643.0,1.0,1.0,1.0,1.0,1.0,1.0
